Column1,Soil_Name,MEAN_Yld_V,COUNT_Yld_,MEAN_Eleva,RANGE_Elev,Crop-Type,V.A.T(F),R.A.T(F),M.A.T(F),V.PET(inch),R.PET(inch),M.PET(inch),V.T.R(inch),R.T.R(inch),M.T.R(inch),NormalizedYield
141,"Fordville-Renshaw Loams, 02 slope",20.99350667,15,1492.268167,1.3123,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.40530509
142,"Fordville-Renshaw Loams, 02 slope",28.02744667,15,1492.399373,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.541103826
143,"Fordville-Renshaw Loams, 02 slope",26.33516667,15,1493.23054,2.9527,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.50843231
144,"Fordville-Renshaw Loams, 02 slope",23.69110667,15,1494.805333,4.9212,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.457385527
145,"Fordville-Renshaw Loams, 02 slope",25.4457,10,1497.70342,4.5932,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.491260078
146,"Fordville-Renshaw Loams, 02 slope",23.78636,10,1499.57348,3.2808,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.459224508
147,"Fordville-Renshaw Loams, 02 slope",23.36224286,14,1499.568821,2.6246,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.451036413
148,"Fordville-Renshaw Loams, 02 slope",26.53581875,16,1500.479812,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.512306141
149,"Fordville-Renshaw Loams, 02 slope",27.72376471,17,1503.074341,3.2809,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.535240878
150,"Buse-Barnes-Darnen Loams, 3-9 slope",25.01779375,16,1505.954731,3.2808,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.482998829
151,"Buse-Barnes-Darnen Loams, 3-9 slope",23.94306667,15,1509.022313,3.6089,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.46224992
152,"Buse-Barnes-Darnen Loams, 3-9 slope",22.67550625,16,1510.69145,0.9842,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.43777813
153,"Buse-Barnes-Darnen Loams, 3-9 slope",25.39563125,16,1508.599894,2.9528,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.49029344
154,"Buse-Barnes-Darnen Loams, 3-9 slope",26.71925,14,1505.732114,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.515847504
155,"Barnes-Svea Loams, 0-3 slope",30.45155455,11,1503.4568,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.587904167
156,"Barnes-Svea Loams, 0-3 slope",33.11247778,9,1501.826333,1.6405,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.639276515
157,"Barnes-Svea Loams, 0-3 slope",30.99271765,17,1501.6848,2.2965,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.598351976
158,"Barnes-Svea Loams, 0-3 slope",35.21369286,14,1499.545386,3.609,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.679843018
159,"Barnes-Svea Loams, 0-3 slope",29.71130833,24,1496.768379,1.6404,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.573612816
160,"Buse-Barnes-Darnen Loams, 3-9 slope",18.28919444,18,1495.775006,1.9685,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.353095065
161,"Barens-Svea Loams, 3-6 slope",30.51591333,15,1497.34252,3.2808,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.589146691
162,"Barens-Svea Loams, 3-6 slope",31.6415,13,1500.648608,7.2179,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.610877506
163,"Barens-Svea Loams, 3-6 slope",26.02061,10,1506.59448,8.5302,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.502359412
164,"Barens-Svea Loams, 3-6 slope",25.70904545,11,1510.316745,2.9527,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.496344281
165,"Barens-Svea Loams, 3-6 slope",24.62113077,13,1511.525838,2.2966,Pinto Maverick,63,67,64,12.61,7.7,4.37,1.81,0.64,0.37,0.475340769
